window_id,link_type,source_id,target_id,source_domain,target_domain,start_index,end_index_exclusive,start_time_utc,end_time_utc,duration_seconds,sample_count,mean_range_km,min_range_km,max_range_km,transmission_rate_mbps,generation_config_sha256,selection_rule,symmetrization_rule,selected_by_source,earth_clearance_min_km,boundary_source
IDL-000001,IDL,cs01,ns01,communication,navigation,383,1868,2025-01-01T03:11:30.000000Z,2025-01-01T15:34:00.000000Z,44550.000000000,1485,40118.562500000,16709.919921875,59917.355468750,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,nearest_visible_satellite_in_each_other_domain,union,both,11231.165039062,sampled
IDL-000002,IDL,cs01,ns02,communication,navigation,0,1373,2025-01-01T00:00:00.000000Z,2025-01-01T11:26:30.000000Z,41190.000000000,1373,35443.589843750,20278.873046875,57415.261718750,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,nearest_visible_satellite_in_each_other_domain,union,both,13038.867187500,sampled
IDL-000003,IDL,cs01,ns03,communication,navigation,0,576,2025-01-01T00:00:00.000000Z,2025-01-01T04:48:00.000000Z,17280.000000000,576,25763.847656250,18666.498046875,36997.425781250,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,nearest_visible_satellite_in_each_other_domain,union,both,21054.185546875,sampled
IDL-000004,IDL,cs01,ns03,communication,navigation,2240,2881,2025-01-01T18:40:00.000000Z,2025-01-02T00:00:00.000000Z,19200.000000000,641,60374.027343750,48700.199218750,63918.125000000,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,nearest_visible_satellite_in_each_other_domain,union,ns03,7549.586425781,sampled
IDL-000005,IDL,cs01,ns04,communication,navigation,0,4,2025-01-01T00:00:00.000000Z,2025-01-01T00:02:00.000000Z,120.000000000,4,25407.609375000,25292.564453125,25522.830078125,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,nearest_visible_satellite_in_each_other_domain,union,cs01,21526.023437500,sampled
IDL-000006,IDL,cs01,ns04,communication,navigation,1753,2881,2025-01-01T14:36:30.000000Z,2025-01-02T00:00:00.000000Z,33810.000000000,1128,44550.867187500,16438.556640625,60007.269531250,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,nearest_visible_satellite_in_each_other_domain,union,both,11170.571289062,sampled
IDL-000007,IDL,cs01,ns05,communication,navigation,920,2740,2025-01-01T07:40:00.000000Z,2025-01-01T22:50:00.000000Z,54600.000000000,1820,42238.011718750,22779.246093750,65278.132812500,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,nearest_visible_satellite_in_each_other_domain,union,both,6043.404785156,sampled
IDL-000008,IDL,cs01,os01,communication,observation,62,157,2025-01-01T00:31:00.000000Z,2025-01-01T01:18:30.000000Z,2850.000000000,95,38248.050781250,35292.121093750,44602.386718750,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,nearest_visible_satellite_in_each_other_domain,union,both,75.960136414,sampled
IDL-000009,IDL,cs01,os01,communication,observation,253,356,2025-01-01T02:06:30.000000Z,2025-01-01T02:58:00.000000Z,3090.000000000,103,39400.343750000,36754.328125000,44719.179687500,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,nearest_visible_satellite_in_each_other_domain,union,both,24.604408264,sampled
IDL-000010,IDL,cs01,os01,communication,observation,448,564,2025-01-01T03:44:00.000000Z,2025-01-01T04:42:00.000000Z,3480.000000000,116,41247.777343750,39160.089843750,44739.769531250,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,nearest_visible_satellite_in_each_other_domain,union,both,12.315254211,sampled
