window_id,link_type,source_id,target_id,source_domain,target_domain,start_index,end_index_exclusive,start_time_utc,end_time_utc,duration_seconds,sample_count,mean_range_km,min_range_km,max_range_km,transmission_rate_mbps,generation_config_sha256,topology_rule,earth_clearance_min_km,boundary_source
ISL-000001,ISL,cs01,cs02,communication,communication,0,2881,2025-01-01T00:00:00.000000Z,2025-01-02T00:00:00.000000Z,86400.000000000,2881,14643.131835938,14641.442382812,14644.621093750,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,configured_adjacent,35140.636718750,sampled
ISL-000002,ISL,cs01,cs03,communication,communication,0,2881,2025-01-01T00:00:00.000000Z,2025-01-02T00:00:00.000000Z,86400.000000000,2881,28841.447265625,28838.470703125,28844.226562500,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,configured_adjacent,33238.070312500,sampled
ISL-000003,ISL,cs01,cs04,communication,communication,0,2881,2025-01-01T00:00:00.000000Z,2025-01-02T00:00:00.000000Z,86400.000000000,2881,42163.527343750,42159.765625000,42167.218750000,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,configured_adjacent,30131.419921875,sampled
ISL-000004,ISL,cs01,cs05,communication,communication,0,2881,2025-01-01T00:00:00.000000Z,2025-01-02T00:00:00.000000Z,86400.000000000,2881,54204.519531250,54200.429687500,54208.644531250,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,configured_adjacent,25915.140625000,sampled
ISL-000005,ISL,cs02,cs03,communication,communication,0,2881,2025-01-01T00:00:00.000000Z,2025-01-02T00:00:00.000000Z,86400.000000000,2881,14643.240234375,14641.752929688,14644.698242188,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,configured_adjacent,35140.652343750,sampled
ISL-000006,ISL,cs02,cs04,communication,communication,0,2881,2025-01-01T00:00:00.000000Z,2025-01-02T00:00:00.000000Z,86400.000000000,2881,28841.664062500,28839.031250000,28844.345703125,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,configured_adjacent,33238.054687500,sampled
ISL-000007,ISL,cs02,cs05,communication,communication,0,2881,2025-01-01T00:00:00.000000Z,2025-01-02T00:00:00.000000Z,86400.000000000,2881,42163.789062500,42160.363281250,42167.328125000,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,configured_adjacent,30131.384765625,sampled
ISL-000008,ISL,cs03,cs04,communication,communication,0,2881,2025-01-01T00:00:00.000000Z,2025-01-02T00:00:00.000000Z,86400.000000000,2881,14643.360351562,14642.029296875,14644.748046875,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,configured_adjacent,35140.640625000,sampled
ISL-000009,ISL,cs03,cs05,communication,communication,0,2881,2025-01-01T00:00:00.000000Z,2025-01-02T00:00:00.000000Z,86400.000000000,2881,28841.841796875,28839.384765625,28844.394531250,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,configured_adjacent,33238.027343750,sampled
ISL-000010,ISL,cs04,cs05,communication,communication,0,2881,2025-01-01T00:00:00.000000Z,2025-01-02T00:00:00.000000Z,86400.000000000,2881,14643.424804688,14642.130859375,14644.751953125,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,configured_adjacent,35140.609375000,sampled
ISL-000011,ISL,ns01,ns02,navigation,navigation,0,2881,2025-01-01T00:00:00.000000Z,2025-01-02T00:00:00.000000Z,86400.000000000,2881,32770.800781250,32745.912109375,32800.070312500,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,configured_adjacent,16137.424804688,sampled
ISL-000012,ISL,ns01,ns03,navigation,navigation,0,2881,2025-01-01T00:00:00.000000Z,2025-01-02T00:00:00.000000Z,86400.000000000,2881,53026.398437500,53010.265625000,53043.738281250,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,configured_adjacent,2182.312500000,sampled
ISL-000013,ISL,ns01,ns04,navigation,navigation,0,2881,2025-01-01T00:00:00.000000Z,2025-01-02T00:00:00.000000Z,86400.000000000,2881,53027.699218750,53010.265625000,53043.738281250,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,configured_adjacent,2182.316650391,sampled
ISL-000014,ISL,ns01,ns05,navigation,navigation,0,2881,2025-01-01T00:00:00.000000Z,2025-01-02T00:00:00.000000Z,86400.000000000,2881,32772.152343750,32745.912109375,32800.070312500,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,configured_adjacent,16137.423828125,sampled
ISL-000015,ISL,ns02,ns03,navigation,navigation,0,2881,2025-01-01T00:00:00.000000Z,2025-01-02T00:00:00.000000Z,86400.000000000,2881,32772.125000000,32745.912109375,32800.074218750,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,configured_adjacent,16137.420898438,sampled
ISL-000016,ISL,ns02,ns04,navigation,navigation,0,2881,2025-01-01T00:00:00.000000Z,2025-01-02T00:00:00.000000Z,86400.000000000,2881,53027.687500000,53010.265625000,53043.738281250,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,configured_adjacent,2182.313964844,sampled
ISL-000017,ISL,ns02,ns05,navigation,navigation,0,2881,2025-01-01T00:00:00.000000Z,2025-01-02T00:00:00.000000Z,86400.000000000,2881,53026.425781250,53010.265625000,53043.738281250,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,configured_adjacent,2182.318115234,sampled
ISL-000018,ISL,ns03,ns04,navigation,navigation,0,2881,2025-01-01T00:00:00.000000Z,2025-01-02T00:00:00.000000Z,86400.000000000,2881,32774.210937500,32745.914062500,32800.074218750,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,configured_adjacent,16137.421875000,sampled
ISL-000019,ISL,ns03,ns05,navigation,navigation,0,2881,2025-01-01T00:00:00.000000Z,2025-01-02T00:00:00.000000Z,86400.000000000,2881,53028.539062500,53010.265625000,53043.738281250,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,configured_adjacent,2182.315185547,sampled
ISL-000020,ISL,ns04,ns05,navigation,navigation,0,2881,2025-01-01T00:00:00.000000Z,2025-01-02T00:00:00.000000Z,86400.000000000,2881,32774.250000000,32745.910156250,32800.074218750,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,configured_adjacent,16137.422851562,sampled
ISL-000021,ISL,os01,os02,observation,observation,0,2881,2025-01-01T00:00:00.000000Z,2025-01-02T00:00:00.000000Z,86400.000000000,2881,988.410278320,986.768310547,989.999267578,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,configured_adjacent,678.452575684,sampled
ISL-000022,ISL,os01,os03,observation,observation,0,2881,2025-01-01T00:00:00.000000Z,2025-01-02T00:00:00.000000Z,86400.000000000,2881,1972.001098633,1968.762207031,1975.142822266,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,configured_adjacent,626.659362793,sampled
ISL-000023,ISL,os01,os04,observation,observation,0,2881,2025-01-01T00:00:00.000000Z,2025-01-02T00:00:00.000000Z,86400.000000000,2881,2945.979980469,2941.227783203,2950.600097656,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,configured_adjacent,540.610778809,sampled
ISL-000024,ISL,os01,os05,observation,observation,0,2881,2025-01-01T00:00:00.000000Z,2025-01-02T00:00:00.000000Z,86400.000000000,2881,3905.601074219,3899.458496094,3911.589843750,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,configured_adjacent,420.724365234,sampled
ISL-000025,ISL,os02,os03,observation,observation,0,2881,2025-01-01T00:00:00.000000Z,2025-01-02T00:00:00.000000Z,86400.000000000,2881,988.406311035,986.768432617,989.999023438,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,configured_adjacent,678.452453613,sampled
ISL-000026,ISL,os02,os04,observation,observation,0,2881,2025-01-01T00:00:00.000000Z,2025-01-02T00:00:00.000000Z,86400.000000000,2881,1971.992675781,1968.761596680,1975.142578125,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,configured_adjacent,626.657348633,sampled
ISL-000027,ISL,os02,os05,observation,observation,0,2881,2025-01-01T00:00:00.000000Z,2025-01-02T00:00:00.000000Z,86400.000000000,2881,2945.967041016,2941.227783203,2950.599853516,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,configured_adjacent,540.609863281,sampled
ISL-000028,ISL,os03,os04,observation,observation,0,2881,2025-01-01T00:00:00.000000Z,2025-01-02T00:00:00.000000Z,86400.000000000,2881,988.401916504,986.768127441,989.999328613,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,configured_adjacent,678.452148438,sampled
ISL-000029,ISL,os03,os05,observation,observation,0,2881,2025-01-01T00:00:00.000000Z,2025-01-02T00:00:00.000000Z,86400.000000000,2881,1971.984008789,1968.761596680,1975.140747070,80.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,configured_adjacent,626.657287598,sampled
