window_id,link_type,source_id,target_id,source_domain,target_domain,start_index,end_index_exclusive,start_time_utc,end_time_utc,duration_seconds,sample_count,mean_range_km,min_range_km,max_range_km,transmission_rate_mbps,generation_config_sha256,max_elevation_deg,mean_elevation_deg,azimuth_at_start_deg,azimuth_at_end_deg,boundary_source
SGL-000001,SGL,cs01,gs01,communication,ground,0,2881,2025-01-01T00:00:00.000000Z,2025-01-02T00:00:00.000000Z,86400.000000000,2881,38499.019531250,38488.097656250,38510.031250000,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,31.325874329,31.206943512,228.652862549,228.641891479,skyfield_find_events
SGL-000002,SGL,cs01,gs02,communication,ground,0,2881,2025-01-01T00:00:00.000000Z,2025-01-02T00:00:00.000000Z,86400.000000000,2881,37889.039062500,37879.718750000,37898.460937500,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,38.656185150,38.546276093,233.417984009,233.407028198,skyfield_find_events
SGL-000003,SGL,cs01,gs03,communication,ground,0,2881,2025-01-01T00:00:00.000000Z,2025-01-02T00:00:00.000000Z,86400.000000000,2881,37853.988281250,37842.683593750,37865.328125000,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,39.079509735,38.941192627,190.920303345,190.905929565,skyfield_find_events
SGL-000004,SGL,cs01,gs04,communication,ground,0,2881,2025-01-01T00:00:00.000000Z,2025-01-02T00:00:00.000000Z,86400.000000000,2881,36866.621093750,36857.765625000,36875.527343750,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,53.489894867,53.350692749,201.657348633,201.638717651,skyfield_find_events
SGL-000005,SGL,cs02,gs01,communication,ground,0,2881,2025-01-01T00:00:00.000000Z,2025-01-02T00:00:00.000000Z,86400.000000000,2881,37673.074218750,37662.339843750,37683.867187500,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,41.453781128,41.317749023,204.070632935,204.057312012,skyfield_find_events
SGL-000006,SGL,cs02,gs02,communication,ground,0,2881,2025-01-01T00:00:00.000000Z,2025-01-02T00:00:00.000000Z,86400.000000000,2881,37002.453125000,36993.382812500,37011.570312500,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,51.271591187,51.135612488,206.742660522,206.726898193,skyfield_find_events
SGL-000007,SGL,cs02,gs03,communication,ground,0,2881,2025-01-01T00:00:00.000000Z,2025-01-02T00:00:00.000000Z,86400.000000000,2881,37928.781250000,37917.882812500,37939.636718750,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,38.126037598,37.995243073,162.385604858,162.372558594,skyfield_find_events
SGL-000008,SGL,cs02,gs04,communication,ground,0,2881,2025-01-01T00:00:00.000000Z,2025-01-02T00:00:00.000000Z,86400.000000000,2881,36824.355468750,36815.941406250,36832.707031250,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,54.214637756,54.081722260,162.458892822,162.441055298,skyfield_find_events
SGL-000009,SGL,cs03,gs01,communication,ground,0,2881,2025-01-01T00:00:00.000000Z,2025-01-02T00:00:00.000000Z,86400.000000000,2881,37476.378906250,37465.980468750,37486.734375000,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,44.131233215,43.993721008,173.590545654,173.575988770,skyfield_find_events
SGL-000010,SGL,cs03,gs02,communication,ground,0,2881,2025-01-01T00:00:00.000000Z,2025-01-02T00:00:00.000000Z,86400.000000000,2881,36836.949218750,36828.273437500,36845.554687500,60.000000000,0959490dcfeedeafc8e9e01f868552fc1a757f1f2924fe4d8aaab468b9881130,54.050064087,53.912452698,169.023605347,169.005584717,skyfield_find_events
